,Category,count
0,FAMILY,1972
1,GAME,1144
2,TOOLS,843
3,MEDICAL,463
4,BUSINESS,460
5,PRODUCTIVITY,424
6,PERSONALIZATION,392
7,COMMUNICATION,387
8,SPORTS,384
9,LIFESTYLE,382
10,FINANCE,366
11,HEALTH_AND_FITNESS,341
12,PHOTOGRAPHY,335
13,SOCIAL,295
14,NEWS_AND_MAGAZINES,283
15,SHOPPING,260
16,TRAVEL_AND_LOCAL,258
17,DATING,234
18,BOOKS_AND_REFERENCE,231
19,VIDEO_PLAYERS,175
20,EDUCATION,156
21,ENTERTAINMENT,149
22,MAPS_AND_NAVIGATION,137
23,FOOD_AND_DRINK,127
24,HOUSE_AND_HOME,88
25,LIBRARIES_AND_DEMO,85
26,AUTO_AND_VEHICLES,85
27,WEATHER,82
28,ART_AND_DESIGN,65
29,EVENTS,64
30,COMICS,60
31,PARENTING,60
32,BEAUTY,53
33,1.9,1
